City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vizinga,61.0749,50.1031,-18.6,100,99,1.24,RU,1710002758
83,albany,42.6001,-73.9662,5.57,72,100,2.24,US,1710002547
84,thunder bay,48.4001,-89.3168,-3.01,59,40,5.66,CA,1710002758
85,paramonga,-10.6667,-77.8333,25.55,74,97,4.47,PE,1710002758
86,salavan,15.7167,106.4167,24.9,81,95,1.48,LA,1710002758
87,kenai,60.5544,-151.2583,-9.95,90,0,2.06,US,1710002758
88,utrik,11.2278,169.8474,26.28,73,35,12.08,MH,1710002247
89,oamaru,-45.0784,170.9801,6.32,86,62,3.65,NZ,1710002758
90,chegdomyn,51.1167,133.0167,-21.34,100,84,0.64,RU,1710002759
91,richards bay,-28.783,32.0377,23.89,87,6,3.14,ZA,1710002242
92,plettenberg bay,-34.0527,23.3716,18.25,85,10,1.5,ZA,1710002759
93,kiunga,-6.1219,141.2906,24.09,100,100,1.34,PG,1710002759
94,salgareda,45.705,12.4883,11.31,81,99,2.68,IT,1710002759
95,qaqortoq,60.7167,-46.0333,-9.86,84,91,1.87,GL,1710002303
96,isafjordur,66.0755,-23.124,4.0,78,74,2.61,IS,1710002238
97,goz beida,13.95,20.55,33.91,10,3,4.24,TD,1710002759
98,trujillo,-8.116,-79.03,23.98,83,0,5.14,PE,1710002499
99,fort st. john,56.2499,-120.8529,-1.06,80,75,3.6,CA,1710002760
100,ulladulla,-35.35,150.4667,18.85,84,0,2.74,AU,1710002283
101,selfoss,63.9331,-20.9971,5.58,77,100,5.23,IS,1710002296
102,talnakh,69.4865,88.3972,-15.44,93,100,2.85,RU,1710002221
103,west island,-12.1568,96.8225,27.99,78,40,7.72,CC,1710002760
104,mayya,61.7333,130.2811,-25.38,100,99,0.96,RU,1710002760
105,riberalta,-10.9833,-66.1,31.11,70,75,3.09,BO,1710002761
106,wamba,8.9333,8.6,33.92,39,69,2.7,NG,1710002761
107,antsiranana,-12.2787,49.2917,24.99,92,78,3.41,MG,1710002311
108,grand-popo,6.2804,1.8225,29.25,73,99,6.35,BJ,1710002761
109,manokwari,-0.8667,134.0833,25.59,88,99,4.71,ID,1710002761
110,princeville,45.7668,-61.2985,6.41,56,0,3.09,CA,1710002761
111,pelabuhanratu,-6.9875,106.5514,26.55,78,100,2.19,ID,1710002761
112,ribeira grande,38.5167,-28.7,18.76,77,40,13.89,PT,1710002221
113,chonchi,-42.6128,-73.8092,16.73,53,47,1.32,CL,1710002235
114,bayganin,48.6947,55.8742,-8.82,87,10,3.06,KZ,1710002280
115,katsuura,35.1333,140.3,5.54,46,47,8.81,JP,1710002284
116,vila velha,-20.3297,-40.2925,31.97,77,0,6.69,BR,1710002299
117,bilibino,68.0546,166.4372,-19.53,99,99,1.13,RU,1710002236
118,assai,-23.3733,-50.8414,32.92,57,67,3.23,BR,1710002762
119,colonia,50.9333,6.95,14.97,47,0,5.14,DE,1710002206
120,gadzhiyevo,69.2551,33.3362,0.1,90,100,6.55,RU,1710002285
121,sechura,-5.5569,-80.8222,29.84,53,92,2.43,PE,1710002286
122,dasha,23.11,113.4444,12.99,83,100,2.33,CN,1710002763
123,lebu,-37.6167,-73.65,16.95,62,0,4.39,CL,1710002763
124,berdigestyakh,62.0989,126.6992,-18.77,99,99,0.85,RU,1710002244
125,saldanha,-33.0117,17.9442,23.03,82,4,8.67,ZA,1710002290
126,shakawe,-18.3667,21.85,24.2,71,84,1.78,BW,1710002763
127,newman,37.3138,-121.0208,12.3,85,73,1.34,US,1710002309
128,villa ocampo,-28.4875,-59.3551,35.97,47,5,2.76,AR,1710002763
129,lake havasu city,34.4839,-114.3224,15.12,24,1,2.68,US,1710002675
130,alofi,-19.0595,-169.9187,24.94,94,20,2.57,NU,1710002292
131,kruisfontein,-34.0033,24.7314,22.16,79,0,2.62,ZA,1710002764
132,beledweyne,4.7358,45.2036,33.89,24,0,4.41,SO,1710002300
133,russkaya polyana,49.417,31.9201,2.34,70,91,2.85,UA,1710002764
134,ciudad lazaro cardenas,17.9583,-102.2,27.27,56,1,3.14,MX,1710002473
135,nadym,65.5333,72.5167,-29.57,100,41,3.1,RU,1710002765
136,kuta,-8.7233,115.1723,25.97,94,75,3.6,ID,1710002765
137,salinopolis,-0.6136,-47.3561,28.25,81,98,4.5,BR,1710002315
138,udachny,66.4167,112.4,-23.01,100,95,1.78,RU,1710002302
139,baise city,23.8997,106.6133,16.3,99,100,1.13,CN,1710002765
140,ust'-barguzin,53.45,108.9833,-9.75,96,99,0.38,RU,1710002766
141,papao,-17.75,-149.55,25.82,81,100,6.74,PF,1710002766
142,nar'yan-mar,67.6713,53.087,-22.72,100,97,1.34,RU,1710002766
143,letlhakeng,-24.0944,25.0298,32.71,20,45,2.16,BW,1710002766
144,alice springs,-23.7,133.8833,25.75,59,100,2.57,AU,1710002238
145,tura,25.5198,90.2201,16.99,26,0,1.24,IN,1710002284
146,kushva,58.2906,59.7592,-10.67,98,99,1.78,RU,1710002766
147,afaahiti,-17.75,-149.2833,24.93,83,98,6.29,PF,1710002219
148,livingstone,-17.8419,25.8543,34.66,60,67,1.51,ZM,1710002767
149,kapuskasing,49.4169,-82.4331,-4.95,86,100,8.23,CA,1710002219
150,lorengau,-2.0226,147.2712,27.6,84,99,5.71,PG,1710002308
151,ponta delgada,37.7333,-25.6667,18.44,77,40,11.83,PT,1710002167
152,nyurba,63.2842,118.3319,-14.23,95,100,3.04,RU,1710002767
153,rayne,30.2349,-92.2685,18.01,81,100,6.72,US,1710002547
154,congonhas,-20.4997,-43.8578,27.0,72,69,1.06,BR,1710002768
155,albania,41.0,20.0,11.53,77,100,2.8,AL,1710002768
156,prado,-17.3411,-39.2208,29.82,62,40,3.68,BR,1710002250
157,nazarabad,35.9521,50.6075,9.45,37,26,2.67,IR,1710002768
158,porto novo,6.4965,2.6036,29.9,70,99,4.55,BJ,1710002768
159,lodja,-3.4833,23.4333,25.46,76,91,0.18,CD,1710002250
